AfterCount,CommentsCount,GeneralCount,GoodCount,ID,PoorCount,link,name,price,shop_name
2600,1310000,9300,1280000,627718,6800,//item.jd.com/627718.html,"
              德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理全脂纯牛奶1L*12盒      ",139.00,欧德堡牛奶京东自营旗舰店
200,140000,200,140000,1803729,200,//item.jd.com/1803729.html,"
              德国进口 甘蒂牧场（MUH）牧牌 全脂纯牛奶 200ml*24盒 进口纯牛奶 整箱      ",89.00,甘蒂牧场京东自营旗舰店
1300,400000,1700,390000,1431626,1000,//item.jd.com/1431626.html,"
              新西兰进口牛奶 纽麦福3.5g蛋白质全脂牛奶 250ml*24盒 整箱装纯牛奶      ",89.00,纽麦福京东自营旗舰店
1100,410000,800,380000,2149283,600,//item.jd.com/2149283.html,"
              德国原装进口酸奶 德亚（Weidendorf）常温原味酸牛奶200ml*24盒 整箱装      ",99.90,德亚牛奶京东自营旗舰店
500,310000,600,300000,1796166,400,//item.jd.com/1796166.html,"
              新西兰原装进口 安佳（Anchor）轻欣纯牛奶 超高温灭菌脱脂牛奶250*24原箱装      ",99.00,安佳牛奶京东自营旗舰店
100,100000,100,92000,10809060539,100,//item.jd.com/10809060539.html,"
              牧牌（MUH） 德国进口牛奶200ml*27盒 牧牌全脂纯牛奶 健康早餐奶 整箱      ",95.76,山姆会员商店京东自营官方旗舰店
100,84000,70,68000,7522368,40,//item.jd.com/7522368.html,"
              新西兰进口牛奶 纽仕兰 4.0g蛋白质全脂牛奶 250ml*24 钻石版整箱装纯牛奶      ",129.00,纽仕兰（Theland）京东自营旗舰店
1000,400000,1000,370000,2149293,600,//item.jd.com/2149293.html,"
              德国原装进口酸奶 德亚（Weidendorf）常温原味酸牛奶200ml*15盒 整箱装      ",69.90,德亚牛奶京东自营旗舰店
1400,660000,1400,610000,1533902,700,//item.jd.com/1533902.html,"
              新西兰进口牛奶 纽仕兰 3.5g蛋白质全脂牛奶 250ml*24整箱装纯牛奶      ",69.90,纽仕兰（Theland）京东自营旗舰店
50,32000,50,29000,3152954,50,//item.jd.com/3152954.html,"
              澳大利亚 澳牧(Australia’s Own) 儿童成长牛奶礼盒 高端全脂纯进口牛奶 200ml*12      ",118.00,澳牧京东自营旗舰店
600,350000,1100,320000,1284568,600,//item.jd.com/1284568.html,"
              澳大利亚 进口牛奶 德运 （Devondale ）全脂牛奶200ml*24整箱装（两种包装随机发货）      ",79.00,德运（Devondale）京东自营旗舰店
40,29000,300,27000,1268510,200,//item.jd.com/1268510.html,"
              德国原装进口 多美鲜（SUKI）蓝莓果粒脱脂酸奶 100g*12 礼盒      ",59.00,多美鲜京东自营旗舰店
70,31000,50,29000,4208557,50,//item.jd.com/4208557.html,"
              力大狮 Lactasoy 原味豆奶 250ml*12盒  泰国进口 营养早餐 豆奶      ",49.90,力大狮（Lactasoy）京东自营旗舰店
900,240000,300,220000,4599133,300,//item.jd.com/4599133.html,"
              兰雀波兰原装进口全脂纯牛奶1L*12整箱装      ",119.00,兰雀牛奶京东自营旗舰店
100,60000,80,51000,6724545,70,//item.jd.com/6724545.html,"
              中粮 上质SUNSIDES 欧诺鲜进口脱脂牛奶 200mL*24（德国原装进口）      ",56.90,中粮我买网京东自营旗舰店
9,2500,5,1500,4311719,0,//item.jd.com/4311719.html,"
              德国原装进口 多美鲜（SUKI）巧克力味全脂调制乳200ml*12礼盒装      ",49.00,多美鲜京东自营旗舰店
10,7500,30,5200,100000693462,10,//item.jd.com/100000693462.html,"
              尼平河 (NEPEAN RIVER DAIRY)澳大利亚进口 脱脂纯牛奶200ml*24盒  整箱装-国际版      ",54.90,尼平河（NEPEAN RIVER DAIRY）京东自营旗舰店
100,36000,30,19000,100000666850,20,//item.jd.com/100000666850.html,"
              兰雀Lacheer 波兰原装进口 唯鲜系列全脂纯牛奶1L*12整箱装      ",119.00,兰雀牛奶京东自营旗舰店
700,400000,1000,380000,4470996,600,//item.jd.com/4470996.html,"
              力大狮 Lactasoy 原味豆奶 125ml*6盒 泰国进口 营养早餐 豆奶      ",14.50,力大狮（Lactasoy）京东自营旗舰店
500,260000,1300,240000,1133843,800,//item.jd.com/1133843.html,"
              澳大利亚 进口牛奶 德运（Devondale）脱脂牛奶 1L*10 整箱装      ",99.00,德运（Devondale）京东自营旗舰店
500,280000,700,250000,2149294,400,//item.jd.com/2149294.html,"
              德国进口牛奶 德亚（Weidendorf）脱脂 200ml*30      ",89.90,德亚牛奶京东自营旗舰店
20,16000,20,15000,4438279,10,//item.jd.com/4438279.html,"
              欧盟有机认证 荷兰进口 乐荷（vecozuivel）全脂有机纯牛奶 200ml*12盒礼盒装      ",109.00,乐荷京东自营旗舰店
100,78000,90,61000,7214366,70,//item.jd.com/7214366.html,"
              澳大利亚 澳洲原装进口牛奶 澳伯顿So Natural 全脂纯牛奶 200ml*24整箱装      ",69.00,澳伯顿京东自营旗舰店
1400,370000,900,360000,2135512,600,//item.jd.com/2135512.html,"
              澳大利亚 进口牛奶 哈威鲜（Harvey fresh）牛奶 低脂纯牛奶 1L*12盒      ",109.00,哈威鲜京东自营旗舰店
30,25000,20,17000,7214388,30,//item.jd.com/7214388.html,"
              澳大利亚 澳洲原装进口牛奶 澳伯顿So Natural 脱脂纯牛奶 200ml*24整箱装 早餐牛奶      ",69.00,澳伯顿京东自营旗舰店
40,21000,30,19000,4438291,30,//item.jd.com/4438291.html,"
              欧盟有机认证 荷兰进口 乐荷（vecozuivel）全脂有机纯牛奶 1L*6盒礼盒装      ",159.00,乐荷京东自营旗舰店
50,22000,40,18000,6526787,30,//item.jd.com/6526787.html,"
              爱尔兰进口 艾恩摩尔（AVONMORE）脱脂牛奶1L*6 整箱装      ",56.00,艾恩摩尔京东自营旗舰店
200,110000,200,100000,2858178,100,//item.jd.com/2858178.html,"
              荷兰原装进口 荷高（Globemilk） 全脂纯牛奶200ml*24整箱装 3.6%乳蛋白      ",89.00,荷高（Globemilk）京东自营旗舰店
30,10000,30,10000,2910175,10,//item.jd.com/2910175.html,"
              德质 德国原装进口 高品质玻璃瓶装 脱脂纯牛奶 490ml*6瓶/箱      ",119.00,德质京东自营旗舰店
10,11000,10,8900,28759630314,8,//item.jd.com/28759630314.html,"
              【沃尔玛】德国进口 德牧牌全脂纯牛奶 早餐奶 200ML*27 新老包装随机发货      ",89.90,沃尔玛京东自营官方旗舰店
